                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2208,                0.82472,                0.98135,                0.98709,                0.78571,                0.82788,                0.34229,                 2.1638,                   1.34,                 1.5205,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.1478,                0.79054,                0.98338,                0.97766,                0.71429,                  0.785,                0.39211,                 1.9608,                 1.4468,                 1.3148,               0.001538,               0.001538,               0.001538
                     37,                 1.1452,                0.77294,                0.99927,                0.89391,                0.71429,                 0.7661,                 0.3311,                 2.0507,                 1.3904,                 1.4032,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.2543,                 0.8202,                0.97485,                0.96003,                0.64286,                0.81032,                0.38623,                   1.97,                 1.2997,                 1.3749,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.2603,                 0.8791,                 1.0298,                 0.8876,                0.64286,                0.74853,                0.33893,                 2.0851,                 1.4431,                   1.41,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.2411,                0.79285,                0.99473,                0.88926,                0.64286,                0.74543,                0.36385,                 1.8817,                 1.4699,                 1.2908,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.2051,                0.77971,                0.99534,                0.89766,                0.71429,                0.79933,                0.33529,                 2.0596,                 1.3253,                 1.4157,               0.001472,               0.001472,               0.001472
                     42,                 1.2298,                0.78538,                 1.0146,                0.99248,                0.78571,                0.80976,                0.33893,                 1.9059,                 1.3841,                 1.3108,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.2066,                0.74643,                0.97967,                0.97128,                0.78571,                0.79722,                0.36846,                 2.0451,                 1.4303,                 1.3549,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.1794,                0.75132,                0.96936,                0.87912,                0.64286,                0.64789,                0.30799,                 2.1487,                 1.4325,                 1.4627,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.1252,                0.76243,                0.97858,                0.88276,                0.64286,                0.69825,                0.31511,                 1.9852,                 1.3701,                 1.3652,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.0453,                0.72275,                0.94796,                0.89867,                0.63432,                0.65265,                0.32756,                 2.0568,                 1.6185,                 1.4142,               0.001406,               0.001406,               0.001406
                     47,                 1.0477,                  0.722,                0.95316,                0.89104,                0.64286,                0.70011,                  0.353,                 1.9841,                 1.4097,                 1.3657,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.0686,                 0.6823,                0.94202,                      1,                0.63835,                0.78114,                0.40763,                 1.9171,                 1.4398,                 1.3256,              0.0013796,              0.0013796,              0.0013796
                     49,                0.98969,                0.67401,                 0.9421,                      1,                0.70753,                0.78256,                0.42418,                 1.8955,                 1.2826,                 1.2971,              0.0013664,              0.0013664,              0.0013664
                     50,                0.99526,                0.63991,                 0.9225,                0.90821,                0.70736,                0.79705,                 0.4087,                 2.0086,                 1.5589,                 1.3262,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.0256,                0.68555,                0.93458,                0.82735,                 0.6861,                0.82506,                0.42773,                 1.9056,                 1.6554,                  1.289,                0.00134,                0.00134,                0.00134
                     52,                 1.0356,                0.66992,                0.92281,                0.87862,                0.57143,                0.70077,                0.31646,                 2.0727,                 1.7149,                 1.3814,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.0563,                0.67139,                0.92782,                0.87819,                0.57143,                 0.6945,                0.34449,                 1.9772,                  1.733,                  1.339,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.0172,                0.64519,                0.91919,                0.90618,                0.69145,                0.72671,                0.36548,                 1.9353,                  1.402,                  1.326,              0.0013004,              0.0013004,              0.0013004
                     55,                 1.1407,                0.75244,                 0.9543,                0.91528,                0.77262,                0.83481,                0.35764,                 2.0383,                 1.2806,                 1.3723,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.0301,                0.63115,                0.93902,                0.98471,                0.64286,                 0.8205,                0.34367,                 2.1321,                 1.4047,                 1.4144,               0.001274,               0.001274,               0.001274
                     57,                 1.0354,                0.66605,                0.93144,                0.89239,                0.64286,                0.75045,                0.30091,                 2.1298,                  1.526,                 1.4779,              0.0012608,              0.0012608,              0.0012608
