epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.14239,1.9802,3.1113,2.31524,0.00286,0.85714,0.1015,0.03347,0.92736,3.36865,1.29165,0,0,0
2,11.4298,0.89392,2.49186,1.30786,0.00286,0.85714,0.11118,0.04208,0.84117,3.33516,1.21977,1.9901e-05,1.9901e-05,1.9901e-05
3,14.9258,0.68212,2.41676,1.26422,0.00286,0.85714,0.13219,0.06908,0.71504,3.29041,1.10315,3.9604e-05,3.9604e-05,3.9604e-05
4,17.9886,1.58315,3.11515,1.8241,0.00286,0.85714,0.20335,0.08714,0.62926,3.26367,1.01254,5.9109e-05,5.9109e-05,5.9109e-05
5,22.1404,0.80115,2.38739,1.23779,0.00286,0.85714,0.22733,0.10937,0.55939,3.23818,0.90446,7.8416e-05,7.8416e-05,7.8416e-05
