epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.62994,1.98568,3.37759,2.34026,0.0064,0.85714,0.10253,0.05255,0.92797,3.73911,1.29258,0,0,0
2,9.64206,0.84907,2.93924,1.28233,0.00651,0.85714,0.17542,0.08405,0.85864,3.70817,1.23376,1.65875e-05,1.65875e-05,1.65875e-05
3,13.1876,0.67813,2.81352,1.2625,0.00665,0.85714,0.30954,0.1552,0.74371,3.66084,1.12896,3.30099e-05,3.30099e-05,3.30099e-05
4,17.8442,1.59679,3.49389,1.80168,0.00685,0.85714,0.46757,0.25738,0.64308,3.63497,1.02696,4.92674e-05,4.92674e-05,4.92674e-05
5,22.3032,0.77794,2.76598,1.23791,0.00714,0.85714,0.69636,0.42366,0.58621,3.60983,0.94447,6.53597e-05,6.53597e-05,6.53597e-05
6,26.942,1.02531,3.10437,1.60725,0.00741,0.85714,0.74888,0.50768,0.5312,3.59121,0.86209,8.12871e-05,8.12871e-05,8.12871e-05
7,31.9514,1.60677,3.19546,2.07375,0.00762,0.85714,0.82056,0.62125,0.5055,3.55853,0.81636,9.70494e-05,9.70494e-05,9.70494e-05
8,37.2912,0.49543,2.70032,1.03853,0.0093,1,0.89761,0.67088,0.51029,3.51034,0.80005,0.000112647,0.000112647,0.000112647
9,41.2904,0.88063,2.85121,1.44663,0.00962,1,0.89761,0.6818,0.42293,3.47472,0.72679,0.000128079,0.000128079,0.000128079
10,45.1514,0.80674,2.68799,1.49715,0.0095,1,0.91265,0.74849,0.3502,3.46207,0.64086,0.000143346,0.000143346,0.000143346
11,49.0438,1.01395,2.6967,1.60056,0.00931,1,0.93667,0.78263,0.31574,3.43271,0.6116,0.000158448,0.000158448,0.000158448
12,54.0741,0.63362,2.50425,1.18036,0.00848,1,0.953,0.80336,0.26119,3.40627,0.57292,0.000173386,0.000173386,0.000173386
13,60.3589,0.70151,2.49075,1.37166,0.00744,1,0.96389,0.85884,0.25868,3.38415,0.56071,0.000188158,0.000188158,0.000188158
