epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.37958,1.9802,3.1113,2.31524,0.00286,0.85714,0.1015,0.03347,0.92736,3.36865,1.29165,0,0,0
2,9.95274,0.89392,2.49186,1.30786,0.00286,0.85714,0.11118,0.04208,0.84117,3.33516,1.21977,1.9901e-05,1.9901e-05,1.9901e-05
3,12.94,0.68212,2.41676,1.26422,0.00286,0.85714,0.13219,0.06908,0.71504,3.29041,1.10315,3.9604e-05,3.9604e-05,3.9604e-05
4,16.3858,1.58315,3.11515,1.8241,0.00286,0.85714,0.20335,0.08714,0.62926,3.26367,1.01254,5.9109e-05,5.9109e-05,5.9109e-05
5,19.2136,0.80115,2.38739,1.23779,0.00286,0.85714,0.22733,0.10937,0.55939,3.23818,0.90446,7.8416e-05,7.8416e-05,7.8416e-05
6,22.1597,0.97374,2.6653,1.57666,0.00286,0.85714,0.31018,0.16307,0.50046,3.2212,0.83131,9.7525e-05,9.7525e-05,9.7525e-05
7,26.0212,1.55171,2.70363,2.05943,0.00333,1,0.50614,0.219,0.48687,3.18843,0.78314,0.000116436,0.000116436,0.000116436
8,28.7661,0.50056,2.34206,1.0253,0.00333,1,0.57878,0.26415,0.47645,3.12423,0.75605,0.000135149,0.000135149,0.000135149
9,31.5604,0.87427,2.45517,1.41153,0.00333,1,0.63318,0.35985,0.41167,3.11496,0.72827,0.000153664,0.000153664,0.000153664
10,34.3223,0.70059,2.12563,1.40645,0.00333,1,0.66469,0.41689,0.39712,3.11472,0.70159,0.000171981,0.000171981,0.000171981
11,37.1932,0.76409,2.19047,1.44564,0.00333,1,0.56502,0.46192,0.38805,3.10748,0.67576,0.0001901,0.0001901,0.0001901
12,40.1122,0.698,2.08124,1.21655,0.00333,1,0.80536,0.57824,0.36879,3.09243,0.67178,0.000208021,0.000208021,0.000208021
13,43.0309,0.60348,2.05413,1.34953,0.00333,1,0.83061,0.64179,0.35788,3.08898,0.67056,0.000225744,0.000225744,0.000225744
14,46.0598,0.69564,2.01819,1.28805,0.00333,1,0.82233,0.66705,0.38871,3.10141,0.69847,0.000243269,0.000243269,0.000243269
15,49.6037,0.64101,1.7006,1.43183,0.00333,1,0.86013,0.66793,0.421,3.08843,0.73584,0.000260596,0.000260596,0.000260596
16,52.7508,1.15139,2.08514,1.75919,0.00333,1,0.88149,0.67402,0.47941,3.09364,0.80833,0.000277725,0.000277725,0.000277725
17,56.705,0.51539,1.18906,1.18152,0.00333,1,0.77479,0.60455,0.51319,3.09388,0.86923,0.000294656,0.000294656,0.000294656
18,60.3757,0.68815,1.29067,1.17999,0.00333,1,0.7256,0.54227,0.59499,3.11112,0.98803,0.000311389,0.000311389,0.000311389
19,63.3211,0.34508,1.70279,1.09764,0.00333,1,0.64333,0.41515,0.70706,3.17978,1.14009,0.000327924,0.000327924,0.000327924
20,73.5325,0.56844,1.64461,1.23811,0.00286,0.85714,0.3685,0.21867,0.94611,3.35059,1.3732,0.000344261,0.000344261,0.000344261
21,78.5563,0.59791,1.59621,1.15339,0.00333,1,0.23564,0.11158,1.44516,3.56142,1.6806,0.0003604,0.0003604,0.0003604
22,89.5999,0.2665,1.3284,1.0883,0.00333,1,0.20599,0.0764,1.70195,3.7251,1.8128,0.000376341,0.000376341,0.000376341
23,95.773,0.35163,1.1224,1.06188,0.00286,0.85714,0.11771,0.04261,2.00795,4.01377,1.9734,0.000392084,0.000392084,0.000392084
24,99.5944,1.64991,2.51378,2.40472,0.00286,0.85714,0.09518,0.04705,1.90799,3.82712,1.92098,0.000407629,0.000407629,0.000407629
25,103.091,0.59816,0.97191,1.35627,0.00333,1,0.24916,0.08408,1.47158,3.63459,1.66774,0.000422976,0.000422976,0.000422976
26,106.31,1.97873,1.93755,3.12242,0.00333,1,0.33258,0.22618,1.03368,3.40686,1.45653,0.000438125,0.000438125,0.000438125
27,109.396,0.58611,1.61177,1.30957,0.00333,1,0.32573,0.21877,0.80607,3.1772,1.39007,0.000453076,0.000453076,0.000453076
28,112.274,0.5275,1.2427,1.08104,0.00333,1,0.21602,0.15777,0.88462,3.15712,1.56105,0.000467829,0.000467829,0.000467829
29,115.787,0.50113,1.02066,1.27521,0.05486,1,0.25162,0.13549,0.96345,3.25448,1.6696,0.000482384,0.000482384,0.000482384
30,120.451,1.03244,1.62558,1.63493,0.1013,1,0.24009,0.12028,0.95687,3.27413,1.57509,0.000496741,0.000496741,0.000496741
31,126.098,0.52607,1.53066,1.20844,0.15465,0.5496,0.16583,0.09199,0.88411,3.29163,1.38371,0.0005109,0.0005109,0.0005109
32,129.56,0.57625,1.68215,1.14372,0.21812,0.43903,0.28237,0.09705,1.14172,3.73569,1.4687,0.000524861,0.000524861,0.000524861
33,132.54,0.8553,1.29017,1.48235,0.27192,0.71429,0.3824,0.0664,1.92753,4.21887,2.31971,0.000538624,0.000538624,0.000538624
34,140.975,1.55844,2.79147,1.92806,0.16099,0.42857,0.17609,0.05985,2.18893,4.83406,2.58083,0.000552189,0.000552189,0.000552189
35,153.101,1.8218,2.73025,2.05767,0.13001,0.14286,0.16997,0.0499,2.50036,4.34715,3.08991,0.000565556,0.000565556,0.000565556
36,157.45,0.50679,1.06235,1.0377,0.24997,0.42857,0.29303,0.07707,2.38586,3.96542,2.82681,0.000578725,0.000578725,0.000578725
37,160.571,0.6683,1.42536,1.29429,0.13377,0.28571,0.23956,0.09654,2.0813,4.07145,2.50329,0.000591696,0.000591696,0.000591696
38,163.515,1.37158,1.72285,1.89265,0.30788,0.57198,0.36777,0.18726,1.65622,3.51693,2.24302,0.000604469,0.000604469,0.000604469
39,166.435,0.61568,1.29091,1.30417,0.23116,0.71429,0.32522,0.1622,1.59122,3.52331,2.31078,0.000617044,0.000617044,0.000617044
40,169.56,0.72041,1.1198,1.16068,0.34209,0.71429,0.34234,0.23541,1.65746,3.43386,3.09492,0.000629421,0.000629421,0.000629421
41,183.12,0.49847,1.15463,1.131,0.43352,0.57143,0.38104,0.16104,2.49139,3.71827,4.47585,0.0006416,0.0006416,0.0006416
42,196.277,0.64207,1.49458,1.22336,0.38009,0.71429,0.37954,0.13167,2.71728,3.88935,4.76438,0.000653581,0.000653581,0.000653581
43,199.238,0.73043,1.30503,1.30157,0.30558,0.42857,0.24307,0.08355,2.83046,3.73359,4.40415,0.000665364,0.000665364,0.000665364
44,202.216,0.84676,1.53824,1.36187,0.43643,0.42857,0.27367,0.11545,2.41569,3.98286,3.38427,0.000676949,0.000676949,0.000676949
