epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,205.814,0.77628,1.45347,1.38965,0.29373,0.41705,0.2066,0.081,1.72451,4.7314,2.33125,0.000688336,0.000688336,0.000688336
46,208.675,0.82316,1.28218,1.34066,0.26073,0.42857,0.16981,0.05519,1.66193,4.35548,1.91597,0.000699525,0.000699525,0.000699525
47,212.057,1.47744,2.99932,1.82051,0.6236,0.57143,0.41414,0.12929,1.41132,3.70745,1.74293,0.000710516,0.000710516,0.000710516
48,217.899,0.73393,1.35159,1.32557,0.76064,0.57143,0.57427,0.22871,1.22159,3.36035,1.54418,0.000721309,0.000721309,0.000721309
49,223.256,0.50911,1.07526,1.25027,0.8889,0.42857,0.57483,0.12652,1.82775,3.44437,2.17961,0.000731904,0.000731904,0.000731904
50,228.535,0.4366,0.98548,1.10588,0.76753,0.57143,0.66287,0.14881,1.94219,3.44145,2.76689,0.000742301,0.000742301,0.000742301
51,233.399,0.44332,0.96266,0.96187,0.79743,0.56409,0.58132,0.11305,2.08398,3.58769,3.2246,0.0007525,0.0007525,0.0007525
52,238.973,1.72537,2.885,2.37917,0.13448,0.28571,0.14376,0.02438,2.25921,3.84349,3.32164,0.000762501,0.000762501,0.000762501
53,244.213,0.73929,1.10947,1.31315,0.06989,0.14286,0.0278,0.00598,2.85733,4.38849,3.85073,0.000772304,0.000772304,0.000772304
54,249.034,0.58358,1.29161,1.18068,0.05359,0.14286,0.02678,0.00293,3.43945,4.61374,4.7438,0.000781909,0.000781909,0.000781909
55,255.916,0.66382,0.9515,1.21188,0.08919,0.28571,0.05108,0.00633,3.48718,4.46477,4.86593,0.000791316,0.000791316,0.000791316
56,260.839,0.93834,1.41598,1.4102,0.11515,0.14286,0.0279,0.00339,3.59724,3.79086,5.32695,0.000800525,0.000800525,0.000800525
57,265.702,0.58446,0.96895,1.2996,0.23124,0.28571,0.08444,0.01901,3.76879,3.50627,6.0691,0.000809536,0.000809536,0.000809536
58,270.349,0.80737,1.08497,1.31502,0.73234,0.14286,0.14748,0.05831,3.81482,3.45857,7.22377,0.000818349,0.000818349,0.000818349
59,274.713,0.93329,1.37931,1.40313,0.28787,0.14286,0.09538,0.0241,3.71021,3.97916,7.06399,0.000826964,0.000826964,0.000826964
60,279.258,0.75317,0.99743,1.3189,0.38098,0.28571,0.18999,0.03368,3.43475,4.28916,7.04439,0.000835381,0.000835381,0.000835381
61,283.405,0.67613,0.89682,1.23925,0.21479,0.14286,0.08102,0.05172,3.42907,4.25504,6.95708,0.0008436,0.0008436,0.0008436
62,293.45,0.65618,1.21745,1.13372,0.51888,0.14286,0.16429,0.10401,3.17135,3.87353,5.64997,0.000851621,0.000851621,0.000851621
63,297.696,0.65937,1.05781,1.41734,0.30924,0.14286,0.05117,0.045,3.09831,4.59749,4.61944,0.000859444,0.000859444,0.000859444
64,301.734,0.99058,1.61876,1.67057,0.22793,0.14286,0.03689,0.03285,3.38858,4.08578,4.73988,0.000867069,0.000867069,0.000867069
65,305.763,1.02058,1.35623,1.7734,0.36202,0.28571,0.14688,0.07419,2.88857,3.77292,4.13888,0.000874496,0.000874496,0.000874496
66,309.992,0.8002,1.56028,1.34904,0.57104,0.85714,0.73188,0.1511,2.28235,3.06885,2.99214,0.000881725,0.000881725,0.000881725
67,314.206,0.65775,1.16147,1.3809,0.21691,0.71429,0.28973,0.06308,2.42279,3.42205,3.19412,0.000888756,0.000888756,0.000888756
68,318.219,0.91226,1.17359,1.49766,0.89044,0.28571,0.39809,0.06586,2.46073,4.38227,3.44977,0.000895589,0.000895589,0.000895589
69,322.423,0.66847,0.8834,1.28534,0.16277,0.14286,0.07387,0.0235,2.78568,5.00892,3.50404,0.000902224,0.000902224,0.000902224
70,327.679,0.57908,0.83313,1.17987,0.02833,0.14286,0.00557,0.00167,4.43871,6.84856,6.0477,0.000908661,0.000908661,0.000908661
71,332.191,1.92899,2.67251,2.32284,0.00048,0.14286,0.00127,0.00013,4.46915,6.57397,6.81989,0.0009149,0.0009149,0.0009149
72,336.314,0.75331,1.46778,1.45982,0.01855,0.28571,0.00837,0.00196,3.6265,6.41099,5.71238,0.000920941,0.000920941,0.000920941
73,341.136,0.78689,1.84226,1.47943,0.0726,0.14286,0.01328,0.00292,3.35707,5.3313,5.08113,0.000926784,0.000926784,0.000926784
74,345.232,1.19738,1.6037,1.90403,0.44474,0.14286,0.1452,0.04429,3.8636,4.71616,5.88319,0.000932429,0.000932429,0.000932429
75,349.853,0.82246,1.06105,1.20268,0.22903,0.14286,0.03645,0.01159,4.13453,4.49196,6.22762,0.000937876,0.000937876,0.000937876
76,354.117,0.68044,1.15403,1.1671,0.01779,0.14286,0.01117,0.00242,3.86119,5.42654,5.95729,0.000943125,0.000943125,0.000943125
77,358.322,0.86488,1.14008,1.36348,0.04239,0.28571,0.01706,0.00561,3.49944,5.9373,6.3169,0.000948176,0.000948176,0.000948176
78,362.737,0.65846,0.90591,1.2844,0.02626,0.28571,0.01725,0.00773,2.75257,7.5181,4.7651,0.000953029,0.000953029,0.000953029
79,367.556,1.15164,1.33253,1.43415,0.02311,0.28571,0.0131,0.00632,2.41776,9.60805,3.87897,0.000957684,0.000957684,0.000957684
80,371.828,0.96571,1.00916,1.61692,0.02546,0.28571,0.02125,0.00763,2.23941,11.7333,3.41535,0.000962141,0.000962141,0.000962141
81,378.186,0.96899,1.55691,1.5664,0.02068,0.42857,0.0118,0.00505,2.55281,25.1714,4.91703,0.0009664,0.0009664,0.0009664
82,382.793,0.89334,1.12356,1.45804,0.00528,0.28571,0.00377,0.00176,3.07682,49.5521,10.5286,0.000970461,0.000970461,0.000970461
83,387.133,0.89275,1.51525,1.50451,0.01348,0.42857,0.0066,0.00322,3.39787,56.5879,14.0253,0.000974324,0.000974324,0.000974324
84,391.283,0.76357,1.34456,1.17174,0.00872,0.14286,0.00325,0.00065,4.71993,54.7484,24.7175,0.000977989,0.000977989,0.000977989
85,395.437,0.77811,1.05167,1.18168,0.0005,0.14286,0.00043,4e-05,5.32976,39.5711,25.8462,0.000981456,0.000981456,0.000981456
86,400.035,1.03048,1.53839,1.45401,0.00049,0.14286,0.00029,3e-05,4.81574,24.1185,21.4541,0.000984725,0.000984725,0.000984725
87,405.348,0.71678,1.10037,1.19687,0.00048,0.14286,0.00056,6e-05,4.47796,11.3291,18.1898,0.000987796,0.000987796,0.000987796
88,409.833,0.82169,1.01084,1.29282,0.00523,0.14286,0.00304,0.0003,4.35997,6.28451,19.6295,0.000990669,0.000990669,0.000990669
89,413.824,0.83026,1.1128,1.24945,0.00159,0.42857,0.00458,0.00069,4.30608,4.8857,16.629,0.000993344,0.000993344,0.000993344
90,419.179,0.70377,0.98932,1.26477,0.00162,0.42857,0.00178,0.0003,4.25878,4.79269,10.7857,0.000995821,0.000995821,0.000995821
91,426.588,1.20666,1.70494,1.74079,0,0,0,0,4.29158,4.85546,10.107,0.0009981,0.0009981,0.0009981
92,432.569,0.52701,0.78523,1.22279,0,0,0,0,4.61189,4.42536,8.77044,0.00100018,0.00100018,0.00100018
93,441.006,0.79863,0.87862,1.2415,0,0,0,0,5.04061,8.22079,10.0855,0.00100206,0.00100206,0.00100206
94,448.779,1.04845,1.43135,1.50983,0,0,0,0,6.01035,23.8869,11.7753,0.00100375,0.00100375,0.00100375
95,454.978,1.00253,1.28154,1.58303,0,0,0,0,6.46143,31.1757,17.2842,0.00100524,0.00100524,0.00100524
96,463.6,0.80488,0.95751,1.33204,0,0,0,0,6.16114,53.8074,22.6936,0.00100653,0.00100653,0.00100653
97,490.816,0.83544,1.19161,1.26667,0,0,0,0,6.27201,88.5545,20.6166,0.00100762,0.00100762,0.00100762
98,496.816,1.02759,0.87216,1.48749,0,0,0,0,6.22076,70.66,17.8356,0.00100851,0.00100851,0.00100851
99,503.415,0.51801,1.3037,1.37039,0,0,0,0,5.76898,50.4034,17.5166,0.0010092,0.0010092,0.0010092
100,556.718,1.41574,1.19094,1.79315,0,0,0,0,5.83358,24.5025,22.4089,0.0010097,0.0010097,0.0010097
101,580.627,0.98655,1.11071,1.6284,0,0,0,0,5.63512,7.00538,13.6422,0.00101,0.00101,0.00101
102,600.503,0.66127,1.01801,0.97097,0,0,0,0,5.63122,5.22672,11.8511,0.0010001,0.0010001,0.0010001
103,612.322,1.05344,1.47367,1.37029,0,0,0,0,5.00441,4.92678,10.6773,0.0009902,0.0009902,0.0009902
104,710.453,0.69876,0.91122,1.33755,0.00048,0.14286,0.00038,4e-05,4.56353,3.89566,7.05975,0.0009803,0.0009803,0.0009803
105,732.607,0.75242,1.03356,1.34307,0.10517,0.14286,0.01783,0.00528,4.0581,3.60691,5.60752,0.0009704,0.0009704,0.0009704
106,760.955,1.23607,1.2357,1.79023,0.16581,0.42857,0.09968,0.01682,4.02546,3.08533,5.66904,0.0009605,0.0009605,0.0009605
107,777.179,1.25106,1.60813,1.67602,0.00095,0.28571,0.00377,0.00071,4.31821,2.9477,6.41304,0.0009506,0.0009506,0.0009506
108,796.284,1.30712,1.1697,1.91443,0.07197,0.14286,0.01136,0.00398,4.34905,3.0632,5.22318,0.0009407,0.0009407,0.0009407
109,807.531,1.12253,1.63106,1.69597,0.04977,0.14286,0.01631,0.00504,4.4794,3.08011,5.35661,0.0009308,0.0009308,0.0009308
110,815.904,1.23299,1.54667,1.77844,0.00048,0.14286,0.00051,5e-05,4.56524,3.06768,5.50792,0.0009209,0.0009209,0.0009209
111,827.636,0.7826,1.14543,1.21477,0.44815,0.14286,0.08021,0.00842,4.37584,3.3833,5.72741,0.000911,0.000911,0.000911
112,843.025,1.19277,1.57529,1.66986,0.71963,0.14286,0.16181,0.01618,4.4678,3.49794,5.49768,0.0009011,0.0009011,0.0009011
113,864.436,1.77608,1.6838,2.41144,0.04064,0.14286,0.00783,0.00157,4.50145,3.90238,5.4012,0.0008912,0.0008912,0.0008912
114,883.615,0.84483,1.19941,1.46945,0,0,0,0,4.72823,3.48501,5.69989,0.0008813,0.0008813,0.0008813
115,902.476,1.25501,1.55877,1.61678,0.10083,0.14286,0.01632,0.00482,4.17339,3.84301,5.44849,0.0008714,0.0008714,0.0008714
116,924.707,0.80786,1.12577,1.50836,0.61707,0.14286,0.15218,0.05948,3.942,3.0316,5.47003,0.0008615,0.0008615,0.0008615
